time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448850000	19.4683	15.5346	4.41643	1.99721	0.604501	radar	1.10098	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.2879	15.9408	4.41511	2.03506	0.559225	radar	0.890916	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.1106	16.3134	4.39632	2.09157	0.570484	radar	0.682696	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449150000	18.7953	16.7971	4.52321	2.19864	0.663224	radar	9.58951	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449250000	18.6416	17.1266	4.41782	2.19586	0.545248	radar	5.17557	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449350000	18.3833	17.491	4.41882	2.22942	0.501833	radar	0.870495	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449450000	18.1119	17.7725	4.3771	2.30589	0.55727	radar	1.4511	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449550000	17.945	18.0697	4.30485	2.33373	0.53334	radar	6.74548	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449650000	17.6524	18.3267	4.27367	2.40143	0.563099	radar	0.560309	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449750000	17.2667	18.7454	4.39391	2.44463	0.540205	radar	4.95491	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449850000	16.7943	19.1681	4.56445	2.50821	0.555854	radar	4.81305	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449950000	16.4396	19.2767	4.47061	2.59768	0.60701	radar	8.63736	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450050000	16.1171	19.4746	4.3837	2.6264	0.544139	radar	2.11823	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
