time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450300000	14.6694	20.5933	4.83349	2.66284	0.386995	lidar	0.017186	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450400000	14.1677	20.7193	4.86677	2.75938	0.45903	lidar	2.16183	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450500000	13.6277	20.8184	4.9491	2.85874	0.525171	lidar	2.40959	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450600000	13.1326	20.8984	4.94722	2.93653	0.556876	lidar	0.398762	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450700000	12.7198	21.0206	4.84098	2.96245	0.521129	lidar	1.66509	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450800000	12.2316	21.0995	4.86272	3.0135	0.519469	lidar	0.0484572	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450900000	11.7226	21.0364	4.86709	3.12558	0.594951	lidar	2.28477	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010451000000	11.2761	21.0468	4.80075	3.17322	0.581102	lidar	0.524494	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451100000	10.8254	20.9827	4.74627	3.24833	0.603299	lidar	0.49082	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451200000	10.3061	21.0318	4.83896	3.24939	0.527514	lidar	3.16188	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451300000	9.87894	20.9717	4.74484	3.30052	0.526698	lidar	0.884236	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451400000	9.45203	20.8804	4.67571	3.35681	0.532019	lidar	0.48758	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451500000	8.90821	20.7926	4.83434	3.39154	0.50723	lidar	2.76481	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451600000	8.3788	20.5951	4.97444	3.47098	0.541664	lidar	2.4135	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451700000	7.90464	20.4336	4.98557	3.51813	0.532745	lidar	0.0435298	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451800000	7.36003	20.3058	5.10158	3.52522	0.473447	lidar	2.72064	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451900000	6.86601	20.1387	5.12683	3.55135	0.446514	lidar	0.345305	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010452000000	6.39471	19.9601	5.11503	3.57779	0.423687	lidar	0.215216	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452100000	5.90939	19.7749	5.1326	3.59609	0.393179	lidar	0.399354	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452200000	5.52865	19.5459	5.00474	3.6482	0.41023	lidar	1.75466	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452300000	5.1153	19.3476	4.93213	3.66909	0.385248	lidar	0.771572	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452400000	4.7628	19.0428	4.86498	3.74534	0.433556	lidar	1.42049	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452500000	4.39881	18.7829	4.79621	3.78544	0.430049	lidar	0.478164	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452600000	4.10178	18.4756	4.6867	3.85549	0.465388	lidar	1.71678	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452700000	3.65693	18.1752	4.8175	3.86635	0.418842	lidar	2.60339	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452800000	3.24795	17.8208	4.92969	3.90207	0.409904	lidar	1.29114	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
1477010452900000	2.89911	17.5947	4.78665	3.89485	0.350475	lidar	3.43624	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167
1477010453000000	2.5637	17.1991	4.85352	3.95719	0.38426	lidar	0.894431	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251
1477010453100000	2.24422	16.8371	4.85015	3.99877	0.388244	lidar	0.00744447	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595
1477010453200000	1.93553	16.3412	5.01193	4.08352	0.444445	lidar	3.86277	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216
1477010453300000	1.5704	15.9937	5.02034	4.07508	0.378014	lidar	1.74014	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132
1477010453400000	1.2528	15.5361	5.12195	4.11842	0.384031	lidar	1.04706	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364
